ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,ASSENTAMEN
degradacao,2,2023,Sentinel-2,AC,0.0326,PA SÃO JOÃO DO BALANCEIO
degradacao,2,2023,Sentinel-2,AC,0.018,PA SÃO JOÃO DO BALANCEIO
degradacao,11,2022,Landsat-8,AM,0.2763,PAE ANTIMARY
degradacao,11,2022,Landsat-8,AM,0.2491,PAE ANTIMARY
degradacao,11,2022,Landsat-8,AM,0.1298,PAE ANTIMARY
degradacao,11,2022,Landsat-8,AM,0.0928,PAE ANTIMARY
degradacao,11,2022,Landsat-8,AM,0.0865,PAE ANTIMARY
degradacao,11,2022,Landsat-8,MT,0.0466,PA GUAPORÉ
degradacao,11,2022,Landsat-8,MT,0.0353,PA GUAPORÉ
degradacao,11,2022,Landsat-8,AC,0.0326,PAD PEDRO PEIXOTO
degradacao,11,2022,Landsat-8,AM,0.0288,PAE ANTIMARY
degradacao,11,2022,Landsat-8,AC,0.0261,PAD PEDRO PEIXOTO
degradacao,11,2022,Sentinel-2,TO,9.2841,PA PEDRA BRANCA
degradacao,11,2022,Sentinel-2,TO,0.0136,PA PEDRA BRANCA
degradacao,11,2022,Sentinel-2,MT,2.7993,PA CACHOEIRA DA UNIÃO
degradacao,11,2022,Sentinel-2,MT,2.5195,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.0937,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,MT,2.4161,PA SANTO ANTONIO DO FONTOURA I
degradacao,11,2022,Sentinel-2,TO,1.4946,PA PEDRA BRANCA
degradacao,11,2022,Sentinel-2,MT,1.2102,PA SANTO ANTONIO DO FONTOURA I
degradacao,11,2022,Sentinel-2,MT,0.9383,PA SANTO ANTONIO DO FONTOURA II
degradacao,11,2022,Sentinel-2,MT,0.9851,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.1735,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.8074,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,MT,0.8669,PE VIDA NOVA
degradacao,11,2022,Sentinel-2,MT,0.8612,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,AC,0.7448,PA ANTONIO DE HOLANDA
degradacao,11,2022,Sentinel-2,AC,0.7994,PA ANTONIO DE HOLANDA
degradacao,11,2022,Sentinel-2,MT,0.7803,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.752,PA NOVA COTRIGUAÇU
degradacao,11,2022,Sentinel-2,MT,0.7416,PA SANTO ANTONIO DO FONTOURA I
degradacao,11,2022,Sentinel-2,AC,0.5738,PA BARRO ALTO
degradacao,11,2022,Sentinel-2,MT,0.5672,PE VIDA NOVA
degradacao,11,2022,Sentinel-2,MT,0.5482,PA JAPURANÃ
degradacao,11,2022,Sentinel-2,AC,0.3133,PA BARRO ALTO
degradacao,11,2022,Sentinel-2,AM,0.5095,PA RIO JUMA
degradacao,11,2022,Sentinel-2,AM,0.4589,PA MONTE
degradacao,11,2022,Sentinel-2,MT,0.4187,PA CACHOEIRA DA UNIÃO
degradacao,11,2022,Sentinel-2,MT,0.407,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.4034,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,AC,0.4003,PA BANDEIRANTE
degradacao,11,2022,Sentinel-2,MT,0.2923,PA GUAPORÉ
degradacao,11,2022,Sentinel-2,AC,0.3795,PAE REMANSO
degradacao,11,2022,Sentinel-2,MT,0.0475,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.3216,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,MT,0.2835,PA SANTA TEREZINHA II
degradacao,11,2022,Sentinel-2,MT,0.0433,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.2562,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,MT,0.285,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,PA,0.2766,PA MOJU I E II
degradacao,11,2022,Sentinel-2,MT,0.2739,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,AC,0.2074,PA BANDEIRANTE
degradacao,11,2022,Sentinel-2,AC,0.0353,PA ANTONIO DE HOLANDA
degradacao,11,2022,Sentinel-2,MA,0.1829,PA NASCENTE DO RIO AZUL
degradacao,11,2022,Sentinel-2,TO,0.16,PA PEDRA BRANCA
degradacao,11,2022,Sentinel-2,MT,0.1491,PA JAPURANÃ
degradacao,11,2022,Sentinel-2,PA,0.1418,PA JACARÉ
degradacao,11,2022,Sentinel-2,AM,0.1416,PA MONTE
degradacao,11,2022,Sentinel-2,MT,0.1303,PA SANTO ANTONIO DO FONTOURA I
degradacao,11,2022,Sentinel-2,MT,0.1399,PA SANTO ANTONIO DO FONTOURA II
degradacao,11,2022,Sentinel-2,AM,0.1362,PA RIO JUMA
degradacao,11,2022,Sentinel-2,MT,0.1324,PA JAPURANÃ
degradacao,11,2022,Sentinel-2,AM,0.1318,PA RIO JUMA
degradacao,11,2022,Sentinel-2,AM,0.1305,PA MONTE
degradacao,11,2022,Sentinel-2,AC,0.1159,PA ANTONIO DE HOLANDA
degradacao,11,2022,Sentinel-2,MT,0.1075,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,PA,0.0989,PA JACARÉ
degradacao,11,2022,Sentinel-2,MT,0.0959,PE VIDA NOVA
degradacao,11,2022,Sentinel-2,MT,0.0931,PA NOVA COTRIGUAÇU
degradacao,11,2022,Sentinel-2,MT,0.0863,PE VIDA NOVA
degradacao,11,2022,Sentinel-2,AC,0.0776,PAD HUMAITÁ
degradacao,11,2022,Sentinel-2,AM,0.0719,PDS REALIDADE
degradacao,11,2022,Sentinel-2,AC,0.0693,PAD PEDRO PEIXOTO
degradacao,11,2022,Sentinel-2,AC,0.0681,PAD HUMAITÁ
degradacao,11,2022,Sentinel-2,MT,0.0679,PA JAPURANÃ
degradacao,11,2022,Sentinel-2,PA,0.055,PA MOJU I E II
degradacao,11,2022,Sentinel-2,AC,0.0548,PA SÃO PEDRO
degradacao,11,2022,Sentinel-2,AM,0.0545,PAE SANTA MARIA AUXILIADORA
degradacao,11,2022,Sentinel-2,MT,0.0537,PA CACHOEIRA DA UNIÃO
degradacao,11,2022,Sentinel-2,AC,0.0514,PA BANDEIRANTE
degradacao,11,2022,Sentinel-2,MT,0.0506,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,AM,0.0471,PA MONTE
degradacao,11,2022,Sentinel-2,MT,0.044,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,MT,0.0431,PA SÃO CRISTÓVÃO
degradacao,11,2022,Sentinel-2,MT,0.0236,PA JURUENA
degradacao,11,2022,Sentinel-2,AC,0.0391,PDS BONAL
degradacao,11,2022,Sentinel-2,AC,0.0386,PA ANTONIO DE HOLANDA
degradacao,11,2022,Sentinel-2,AC,0.038,PA BANDEIRANTE
degradacao,11,2022,Sentinel-2,AC,0.0334,PA CAQUETÁ
degradacao,11,2022,Sentinel-2,MT,0.0371,PA BRAÇO SUL
degradacao,11,2022,Sentinel-2,AM,0.0176,PAE SANTA MARIA AUXILIADORA
degradacao,11,2022,Sentinel-2,MT,0.0356,PA NOVA COTRIGUAÇU
degradacao,11,2022,Sentinel-2,TO,0.0353,PA PEDRA BRANCA
degradacao,11,2022,Sentinel-2,AC,0.0344,PAD PEDRO PEIXOTO
degradacao,11,2022,Sentinel-2,AC,0.0341,PAF PROVIDÊNCIA CAPITAL
degradacao,11,2022,Sentinel-2,AC,0.0336,PDS BONAL
degradacao,11,2022,Sentinel-2,AC,0.0333,PA ANTONIO DE HOLANDA
