ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,TERRA_INDI
degradacao,1,2023,Sentinel-2,MT,0.4727,TI Zoró
degradacao,1,2023,Sentinel-2,RO,0.3484,TI Massaco
degradacao,1,2023,Sentinel-2,MT,0.2112,TI Zoró
degradacao,1,2023,Sentinel-2,MT,0.1081,TI Zoró
degradacao,1,2023,Sentinel-2,MT,0.0405,TI Zoró
degradacao,11,2022,Landsat-8,AM,0.9319,TI Peneri/Tacaquiri
degradacao,11,2022,Landsat-8,MT,0.0646,TI Pequizal
degradacao,11,2022,Landsat-8,MT,0.0453,TI Pequizal
degradacao,11,2022,Landsat-8,AM,0.0242,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-1,MT,3.2485,TI Sangradouro/Volta Grande
degradacao,11,2022,Sentinel-1,AM,0.0398,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,12.2393,PI Xingu
degradacao,11,2022,Sentinel-2,MT,12.1481,TI Aripuanã
degradacao,11,2022,Sentinel-2,MT,10.3307,PI Xingu
degradacao,11,2022,Sentinel-2,MT,2.1065,TI Sararé
degradacao,11,2022,Sentinel-2,MT,4.6929,TI Sararé
degradacao,11,2022,Sentinel-2,MT,4.4323,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,4.4236,TI Wawi
degradacao,11,2022,Sentinel-2,MT,4.0455,TI Wawi
degradacao,11,2022,Sentinel-2,MT,3.3808,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.0194,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,2.3603,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.9287,TI Sararé
degradacao,11,2022,Sentinel-2,MT,1.8723,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.6035,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,1.5688,PI Xingu
degradacao,11,2022,Sentinel-2,MT,1.3305,TI Wawi
degradacao,11,2022,Sentinel-2,MT,1.3177,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,MT,0.1574,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.829,TI Aripuanã
degradacao,11,2022,Sentinel-2,MT,0.6761,PI Xingu
degradacao,11,2022,Sentinel-2,PA,0.6415,TI Mundurucu
degradacao,11,2022,Sentinel-2,MT,0.6105,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.5881,TI Pequizal
degradacao,11,2022,Sentinel-2,MT,0.5207,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.504,PI Xingu
degradacao,11,2022,Sentinel-2,MT,0.1968,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.4847,PI Xingu
degradacao,11,2022,Sentinel-2,RO,0.4626,PI Aripuanã
degradacao,11,2022,Sentinel-2,AM,0.4099,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.3703,PI Xingu
degradacao,11,2022,Sentinel-2,PA,0.3413,TI Sarauá
degradacao,11,2022,Sentinel-2,PA,0.3034,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.2925,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.2841,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.2782,TI Wawi
degradacao,11,2022,Sentinel-2,MT,0.26,TI Wawi
degradacao,11,2022,Sentinel-2,PA,0.2535,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.2283,TI Wawi
degradacao,11,2022,Sentinel-2,PA,0.1603,TI Sarauá
degradacao,11,2022,Sentinel-2,AM,0.1484,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MA,0.1407,TI Krikati
degradacao,11,2022,Sentinel-2,MT,0.126,TI Sararé
degradacao,11,2022,Sentinel-2,PA,0.0999,TI Sarauá
degradacao,11,2022,Sentinel-2,RO,0.0951,TI Igarapé Lage
degradacao,11,2022,Sentinel-2,AM,0.0582,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.058,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,PA,0.0458,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.0425,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.0414,TI Aripuanã
degradacao,11,2022,Sentinel-2,PA,0.0403,TI Sarauá
degradacao,11,2022,Sentinel-2,AM,0.03,TI Peneri/Tacaquiri
degradacao,11,2022,Sentinel-2,MT,0.0286,TI Pequizal
degradacao,11,2022,Sentinel-2,MT,0.028,TI Capoto/Jarina
degradacao,11,2022,Sentinel-2,PA,0.0259,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.0182,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.0173,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,PA,0.0169,TI Sarauá
degradacao,11,2022,Sentinel-2,MT,0.013,TI Vale do Guaporé
degradacao,11,2022,Sentinel-2,MT,0.0121,TI Vale do Guaporé
degradacao,8,2022,Landsat-8,MT,0.0797,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-8,MT,0.0505,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-8,MT,0.0206,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9,PA,0.0345,TI Kayapó
degradacao,8,2022,Landsat-9,MT,0.0216,PI Xingu
degradacao,8,2022,Landsat-9,MT,0.0172,TI Pequizal do Naruvôtu
degradacao,8,2022,Landsat-9,MT,0.0155,TI Pequizal do Naruvôtu
degradacao,8,2022,Sentinel-2,MT,1.152,PI Xingu
degradacao,8,2022,Sentinel-2,MT,52.4472,TI Capoto/Jarina
degradacao,8,2022,Sentinel-2,MT,30.5396,TI Urubu Branco
