ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,UNID_CONSE,USO,JURISDICAO
degradacao,2,2023,Sentinel-2,PA,6.7615,FLONA de Saracá-Taquera,Uso Sustentável,Federal
degradacao,2,2023,Sentinel-2,RO,0.545,PARNA dos Campos Amazônicos,Proteção Integral,Federal
degradacao,2,2023,Sentinel-2,MT,1.3106,PES Igarapés do Juruena,Proteção Integral,Estadual
degradacao,1,2023,Sentinel-2,PA,1.1212,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,1,2023,Sentinel-2,RO,0.3484,REBIO do Guaporé,Proteção Integral,Federal
degradacao,1,2023,Sentinel-2,PA,0.3455,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,11,2022,Landsat-8,PA,0.9869,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,1.5689,FLONA do Aripuanã,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,0.0395,PARNA Mapinguari,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,RO,0.7696,RESEX do Rio Ouro Preto,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AM,0.072,PARNA Mapinguari,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,PA,0.6992,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,MT,0.3588,PARNA dos Campos Amazônicos,Proteção Integral,Federal
degradacao,11,2022,Sentinel-2,MT,0.4937,PES Tucumã,Proteção Integral,Estadual
degradacao,11,2022,Sentinel-2,PA,0.4889,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.4179,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AC,0.3763,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,PA,0.3865,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.2284,APA do Lago do Amapá,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AM,0.3134,FLONA do Aripuanã,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,PA,0.254,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,RO,0.2529,FERS do Rio Madeira (B),Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,PA,0.2405,FES do Paru,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,PA,0.2048,FES do Paru,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.1709,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,PA,0.1481,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,PA,0.1436,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.0739,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AC,0.0319,APA do Igarapé São Francisco,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AC,0.0662,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,MT,0.0452,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,RO,0.0346,RESEX do Rio Ouro Preto,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,AC,0.0334,RESEX Chico Mendes,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,PA,0.0265,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,AM,0.0251,RESEX Arapixi,Uso Sustentável,Federal
degradacao,11,2022,Sentinel-2,MT,0.0234,RESEX Guariba-Roosevelt,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,RO,0.0195,PES de Corumbiara,Proteção Integral,Estadual
degradacao,11,2022,Sentinel-2,AC,0.0147,APA do Igarapé São Francisco,Uso Sustentável,Estadual
degradacao,11,2022,Sentinel-2,PA,0.014,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,11,2022,Landsat-8/Sentinel-1,PA,7.5922,APA do Tapajós,Uso Sustentável,Federal
degradacao,11,2022,Landsat-8/Sentinel-1,PA,3.0318,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,11,2022,Landsat-8/Sentinel-1,PA,0.0545,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.1846,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.1837,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.169,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.1226,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0961,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0872,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0866,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0712,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0696,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0227,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.0578,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.051,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0507,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0491,FLONA do Jamanxim,Uso Sustentável,Federal
degradacao,8,2022,Landsat-9,PA,0.0357,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0353,APA Triunfo do Xingu,Uso Sustentável,Estadual
degradacao,8,2022,Landsat-9,PA,0.0349,APA Triunfo do Xingu,Uso Sustentável,Estadual
