ALERTA,MES,ANO,SENSOR,ESTADO,AREAKM2,TERRA_INDI
desmatamento,2,2023,Landsat-8/Sentinel-1,AM,0.0541,TI Apurinã km-124 BR-317
desmatamento,2,2023,Sentinel-2,AM,0.3355,TI Tenharim Marmelos (Gleba B)
desmatamento,2,2023,Sentinel-2,AM,0.3326,TI Tenharim Marmelos (Gleba B)
desmatamento,2,2023,Sentinel-2,PA,0.1711,TI Apyterewa
desmatamento,2,2023,Sentinel-2,MT,0.1653,TI Zoró
desmatamento,2,2023,Sentinel-2,MT,0.1547,TI Sete de Setembro
desmatamento,2,2023,Sentinel-2,MT,0.1034,TI Sete de Setembro
desmatamento,2,2023,Sentinel-2,AM,0.0895,TI Tenharim Marmelos (Gleba B)
desmatamento,2,2023,Sentinel-2,MT,0.0715,TI Piripkura
desmatamento,2,2023,Sentinel-2,PA,0.0345,TI Kayapó
desmatamento,2,2023,Sentinel-2,PA,0.0334,TI Kayapó
desmatamento,2,2023,Sentinel-2,AM,0.0299,TI Médio Rio Negro I
desmatamento,2,2023,Sentinel-2,AM,0.0245,TI Sururuá
desmatamento,2,2023,Sentinel-2,AM,0.0224,TI Alto Rio Negro
desmatamento,2,2023,Sentinel-2,AM,0.0207,TI Alto Rio Negro
desmatamento,1,2023,Landsat-9,RR,0.053,TI Jacamim
desmatamento,1,2023,Landsat-9,PA,0.0254,TI Cachoeira Seca
desmatamento,1,2023,Landsat-9,RR,0.0252,TI Moskow
desmatamento,1,2023,Landsat-8,AM,0.023,TI Alto Rio Negro
desmatamento,1,2023,Landsat-8,AM,0.0202,TI Alto Rio Negro
desmatamento,1,2023,Landsat-8,AM,0.0189,TI Alto Rio Negro
desmatamento,1,2023,Landsat-8,RO,0.0154,TI Karipuna
desmatamento,1,2023,Sentinel-2,RR,0.1618,TI Santa Inês
desmatamento,1,2023,Sentinel-2,MT,0.0588,TI Vale do Guaporé
desmatamento,1,2023,Sentinel-2,RR,0.0519,TI Moskow
desmatamento,1,2023,Sentinel-2,MA,0.0486,TI Krikati
desmatamento,1,2023,Sentinel-2,MT,0.0464,TI Vale do Guaporé
desmatamento,1,2023,Sentinel-2,RR,0.0408,TI Santa Inês
desmatamento,1,2023,Sentinel-2,RR,0.034,TI Manoá/Pium
desmatamento,1,2023,Sentinel-2,RR,0.0276,TI Santa Inês
desmatamento,1,2023,Sentinel-2,AM,0.0261,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0257,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.025,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0241,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0231,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,RR,0.0226,TI Manoá/Pium
desmatamento,1,2023,Sentinel-2,AM,0.0216,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0207,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0195,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0194,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,AM,0.0161,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,MT,0.0157,TI Vale do Guaporé
desmatamento,1,2023,Sentinel-2,AM,0.0149,TI Alto Rio Negro
desmatamento,1,2023,Sentinel-2,RR,0.0146,TI Manoá/Pium
desmatamento,1,2023,Sentinel-2,RR,0.0141,TI Moskow
desmatamento,1,2023,Sentinel-2,RR,0.0131,TI Malacacheta
desmatamento,10,2022,Sentinel-1,PA,0.2222,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.1515,TI Cachoeira Seca
desmatamento,10,2022,Sentinel-1,PA,0.0946,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0733,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0687,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.058,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0579,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0573,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0548,TI Trincheira/Bacajá
desmatamento,10,2022,Sentinel-1,AM,0.0487,TI Vale do Javari
desmatamento,10,2022,Sentinel-1,PA,0.0476,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0472,TI Mundurucu
desmatamento,10,2022,Sentinel-1,PA,0.0458,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0443,TI Trincheira/Bacajá
desmatamento,10,2022,Sentinel-1,PA,0.0403,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0379,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.035,TI Apyterewa
desmatamento,10,2022,Sentinel-1,PA,0.0347,TI Apyterewa
desmatamento,10,2022,Sentinel-1,AM,0.0331,TI São Sebastião
desmatamento,10,2022,Sentinel-1,PA,0.0325,TI Arara da Volta Grande do Xingu
desmatamento,10,2022,Sentinel-1,PA,0.0233,TI Arara da Volta Grande do Xingu
desmatamento,10,2022,Sentinel-1,PA,0.0217,TI Trincheira/Bacajá
desmatamento,10,2022,Sentinel-1,AM,0.0177,TI Médio Rio Negro I
desmatamento,10,2022,Sentinel-1,PA,0.0144,TI Trincheira/Bacajá
desmatamento,10,2022,Landsat-9,MT,0.3,PI Xingu
desmatamento,10,2022,Landsat-9,RO,0.2006,TI Igarapé Lage
desmatamento,10,2022,Landsat-9,PA,0.1338,TI Xikrin do Cateté
desmatamento,10,2022,Landsat-9,RO,0.0352,TI Igarapé Lage
desmatamento,10,2022,Landsat-9,AM,0.0195,TI Tenharim/Marmelos
desmatamento,10,2022,Landsat-9,PA,0.068,TI Cachoeira Seca
desmatamento,10,2022,Landsat-9,RO,0.022,TI Igarapé Lage
desmatamento,10,2022,Landsat-9,PA,0.0607,TI Cachoeira Seca
desmatamento,10,2022,Landsat-9,PA,0.0519,TI Cachoeira Seca
desmatamento,10,2022,Landsat-9,RO,0.0482,TI Rio Mequéns
