sigla_uf,area_ha,categoria,ano,terrai_nom,fase_ti,id,nome,geocodigo
AM,198.158996717,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,889.138948731,não autorizada,2023,Kaxarari,Regularizada,647.0,Lábrea,1302405
AM,246.24025828,não autorizada,2023,Jacareúba/Katauixi (restrição uso),Em Estudo,865.0,Canutama,1300904
AM,6.66513740877,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,30.7976825082,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,40.0990000698,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,98.8868744713,não autorizada,2023,Jacareúba/Katauixi (restrição uso),Em Estudo,865.0,Canutama,1300904
AM,178.171611609,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,192.184489519,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,50.6901493376,não autorizada,2023,Kaxarari,Regularizada,647.0,Lábrea,1302405
AM,91.5806998024,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,201.866563881,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,323.23962428,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,353.26544094,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,179.266692012,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,1829.61583299,não autorizada,2023,Kaxarari,Regularizada,647.0,Lábrea,1302405
AM,1647.76777069,não autorizada,2023,Tenharim Marmelos,Regularizada,587.0,Manicoré,1302702
AM,448.78031943,não autorizada,2023,Kaxarari,Regularizada,647.0,Lábrea,1302405
AM,272.269145478,não autorizada,2023,Kaxarari,Regularizada,647.0,Lábrea,1302405
MT,1088.84237592,autorizada,2018,Batelão,Delimitada,1880.0,Tabaporã,5107941
MT,35.2508550364,não autorizada,2016,Sete de Setembro,Regularizada,609.0,Rondolândia,5107578
MT,121.653819176,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,258.473456256,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,32.7871798516,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,165.50651043,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,476.848918931,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,57.660526961,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,81.1966024492,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,81.2499834335,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,249.0232615,não autorizada,2016,Zoró,Regularizada,609.0,Rondolândia,5107578
MT,728.603866104,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,130.224034856,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,419.642468791,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,161.376610862,não autorizada,2016,Aripuanã,Regularizada,1135.0,Aripuanã,5101407
MT,110.96577393,não autorizada,2016,Kayabi,Regularizada,1011.0,Apiacás,5100805
MT,171.395215602,não autorizada,2016,Kayabi,Regularizada,1011.0,Apiacás,5100805
MT,524.787675328,não autorizada,2016,Apiaka/Kayabi,Regularizada,593.0,Juara,5105101
MT,301.411930999,não autorizada,2016,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,301.411930999,não autorizada,2016,Menkü,Regularizada,615.0,Brasnorte,5101902
MT,23.1016706573,não autorizada,2016,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,174.347037568,não autorizada,2016,Menkü,Delimitada,615.0,Brasnorte,5101902
MT,53.2696476489,não autorizada,2016,Batelão,Delimitada,1880.0,Tabaporã,5107941
