sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
AM,109.465866284,não autorizada,2023,MARMELOS ATININGA,ND_B,Manicoré,1302702
AM,75.4493239555,não autorizada,2023,MARMELOS ATININGA,ND_B,Manicoré,1302702
AM,658.766529853,não autorizada,2023,ANTIMARI (Imóvel),ND_B,Boca do Acre,1300706
AM,1330.05624404,não autorizada,2023,NOSSA SENHORA DO CARMO,ND_I,Parintins,1303403
MT,152.515119551,não autorizada,2016,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,95.6434517856,não autorizada,2016,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,218.183024533,não autorizada,2016,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,238.150399468,não autorizada,2016,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,106.578219063,não autorizada,2016,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,77.0427971288,não autorizada,2016,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,102.560604328,não autorizada,2016,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,155.92316175,não autorizada,2016,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,188.943639982,não autorizada,2016,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,253.19569554,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,35.409058824,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,394.928009364,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,205.520167325,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,205.520167325,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,444.730951286,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,213.470232977,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,148.645681443,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,300.846071166,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,237.741204693,não autorizada,2015,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,81.3438775758,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,328.334246925,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,68.6963943512,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,259.711497062,não autorizada,2015,PIRAJU,ND_B,Marcelândia,5105580
MT,147.471082563,não autorizada,2015,GLEBA JARINÃ,ND_I,Peixoto de Azevedo,5106422
MT,201.120637765,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,51.7715435488,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,35.155800705,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,90.8844875748,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,66.7329277012,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,66.9431336048,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,13.4359671122,não autorizada,2015,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,64.7811057498,não autorizada,2015,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,49.4852226942,não autorizada,2015,PIRAJU,ND_B,Marcelândia,5105580
MT,74.610667864,não autorizada,2015,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,34.7668814655,não autorizada,2014,GLEBA BRAÇO SUL,ND_I,Guarantã do Norte,5104104
MT,686.236477409,não autorizada,2014,FAZENDA DUIQUE,ND_I,União do Sul,5108303
MT,146.342114367,não autorizada,2014,GLEBA ARIPUANÃ,ND_I,Aripuanã,5101407
MT,390.73057942,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,318.068565149,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,64.6311802289,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,53.0140406838,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,63.5686190334,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,65.1463280336,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,146.792392598,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,200.309713302,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,220.883454291,não autorizada,2014,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,48.6002062874,não autorizada,2014,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,62.2369989561,não autorizada,2014,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,196.578294036,não autorizada,2014,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,88.0446236049,não autorizada,2014,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,97.2535204426,não autorizada,2014,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,73.3190079055,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,207.405616338,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,102.443326706,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,69.5727459958,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,5.5481278351,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,109.37989232,não autorizada,2017,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,255.322649249,não autorizada,2017,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,60.911091419,não autorizada,2017,GLEBA GUARIBA,ND_I,Aripuanã,5101407
MT,18.5884867693,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,60.1570653896,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,30.4795377143,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
MT,93.0058878028,não autorizada,2017,GLEBA GUARIBA,ND_I,Colniza,5103254
