sigla_uf,area_ha,categoria,ano,name,sub_class,nome,geocodigo
AM,17.7260926551,n„o autorizada,2023,PAE ARIPUAN√-GUARIBA,ARU,Novo Aripuan„,1303304
AM,17.7260926551,n„o autorizada,2023,PAE ARIPUAN√É∆í-GUARIBA,COM,Novo Aripuan„,1303304
AM,79.2293192084,n„o autorizada,2023,PAE SANTA MARIA AUXILIADORA,COM,Canutama,1300904
AM,545.686776828,n„o autorizada,2023,PAE ANTIMARY,ARU,Boca do Acre,1300706
AM,545.686776828,n„o autorizada,2023,PAE ANTIMARY,COM,Boca do Acre,1300706
AM,658.766529853,n„o autorizada,2023,PAE ANTIMARY,ARU,Boca do Acre,1300706
AM,658.766529853,n„o autorizada,2023,PAE ANTIMARY,COM,Boca do Acre,1300706
AM,360.662950797,n„o autorizada,2023,FLONA BALATA TUFARÕ,ARU,Canutama,1300904
MT,39.7102588013,n„o autorizada,2016,PA JAPURANOMANN,ARU,Nova Bandeirantes,5106158
MT,127.837306296,n„o autorizada,2016,PA TIBAGI,ARU,Brasnorte,5101902
MT,375.625451366,n„o autorizada,2016,PDS 12 DE OUTUBRO,ARU,Cl·udia,5103056
MT,375.625451366,n„o autorizada,2016,PDS 12 DE OUTUBRO,COM,Cl·udia,5103056
MT,149.682069264,n„o autorizada,2016,PA ENA,ARU,Feliz Natal,5103700
MT,11.0719549866,n„o autorizada,2016,PA PONTAL DO MARAPE,ARU,Nova Mutum,5106224
MT,394.928009364,n„o autorizada,2015,RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,COM,Colniza,5103254
MT,41.9137910699,n„o autorizada,2015,PA JAPURANOMANN,ARU,Nova Bandeirantes,5106158
MT,87.2164945478,n„o autorizada,2015,TERRA INDIGENA MENK√É≈ì,COM,Brasnorte,5101902
MT,147.797989336,n„o autorizada,2015,PA TIBAGI,ARU,Brasnorte,5101902
MT,28.2327289763,n„o autorizada,2015,PA COTREL,ARU,Novo Mundo,5106265
MT,28.0956739725,n„o autorizada,2015,PA COTREL,ARU,Novo Mundo,5106265
MT,28.0956739725,n„o autorizada,2015,PA COTREL,ARU,Guarant„ do Norte,5104104
MT,142.792994882,n„o autorizada,2015,PA TAPURAH/ITANHANGA,ARU,Itanhang·,5104542
MT,141.405316576,n„o autorizada,2015,PDS 12 DE OUTUBRO,ARU,Cl·udia,5103056
MT,141.405316576,n„o autorizada,2015,PDS 12 DE OUTUBRO,COM,Cl·udia,5103056
MT,19.9608582361,n„o autorizada,2015,PA ANTONIO SOARES,ARU,Peixoto de Azevedo,5106422
MT,42.9446975938,n„o autorizada,2015,PA BONJAGU¡,ARU,Marcel‚ndia,5105580
MT,54.1474950621,n„o autorizada,2015,PDS OLGA BENARIO,COM,Uni„o do Sul,5108303
MT,10.0170125378,n„o autorizada,2015,PA SANTA CLARA,ARU,Vila Rica,5108600
MT,206.442126199,n„o autorizada,2015,PA JAPURAN√,ARU,Nova Bandeirantes,5106158
MT,349.622950592,n„o autorizada,2015,PA JAPURAN√,ARU,Nova Bandeirantes,5106158
MT,63.2778824148,n„o autorizada,2015,PA TIBAGI,ARU,Brasnorte,5101902
MT,31.0443880952,n„o autorizada,2015,PA TIBAGI,ARU,Brasnorte,5101902
MT,11.0336508718,n„o autorizada,2015,PA TIBAGI,ARU,Brasnorte,5101902
MT,7.72405042675,n„o autorizada,2015,PA COTREL,ARU,Novo Mundo,5106265
MT,7.72405042675,n„o autorizada,2015,PA COTREL,ARU,Guarant„ do Norte,5104104
MT,8.66624716067,n„o autorizada,2015,PA ANTONIO SOARES,ARU,Peixoto de Azevedo,5106422
MT,22.6333753138,n„o autorizada,2015,PA ANTONIO SOARES,ARU,Peixoto de Azevedo,5106422
MT,15.6281971734,n„o autorizada,2015,PA SANTA CLARA,ARU,Vila Rica,5108600
MT,41.4326107628,n„o autorizada,2014,PA COTREL,ARU,Novo Mundo,5106265
MT,10.6793779399,n„o autorizada,2014,PA COTREL,ARU,Novo Mundo,5106265
MT,10.6793779399,n„o autorizada,2014,PA COTREL,ARU,Guarant„ do Norte,5104104
MT,75.776104301,n„o autorizada,2014,PA COTREL,ARU,Novo Mundo,5106265
MT,75.776104301,n„o autorizada,2014,PA COTREL,ARU,Guarant„ do Norte,5104104
MT,34.7668814655,n„o autorizada,2014,PA BRA«O SUL,ARU,Guarant„ do Norte,5104104
MT,5.90835009689,n„o autorizada,2014,PA TAPURAH/ITANHANGA,ARU,Itanhang·,5104542
MT,32.0769546963,n„o autorizada,2014,PA TAPURAH/ITANHANGA,ARU,Itanhang·,5104542
MT,63.2188380133,n„o autorizada,2014,PA TAPURAH/ITANHANGA,ARU,Tapurah,5108006
MT,65.8048670529,n„o autorizada,2014,PA TAPURAH/ITANHANGA,ARU,Itanhang·,5104542
MT,99.5846628501,n„o autorizada,2014,TERRA INDIGENA PARQUE DO XINGU,COM,Paranatinga,5106307
MT,173.480620603,n„o autorizada,2014,PDS TERRA DE VIVER,ARU,Cl·udia,5103056
MT,173.480620603,n„o autorizada,2014,PDS TERRA DE VIVER,COM,Cl·udia,5103056
MT,248.124535185,n„o autorizada,2014,PA MEDALHA MILAGROSA,ARU,Aripuan„,5101407
MT,171.704779624,n„o autorizada,2014,TERRA INDIGENA ESCONDIDO,COM,CotriguaÁu,5103379
MT,286.423477174,n„o autorizada,2014,TERRA INDIGENA KAWAHIVA DO RIO PARDO (RESTRICAO DE USO),COM,Colniza,5103254
MT,116.219066486,n„o autorizada,2014,RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,COM,Colniza,5103254
MT,385.615774811,n„o autorizada,2014,RESERVA EXTRATIVISTA GUARIBA-ROOSEVELT,COM,Aripuan„,5101407
MT,35.3001168779,n„o autorizada,2017,PDS 12 DE OUTUBRO,COM,Cl·udia,5103056
MT,102.866426887,n„o autorizada,2017,PDS OLGA BENARIO,ARU,Uni„o do Sul,5108303
MT,102.866426887,n„o autorizada,2017,PDS OLGA BENARIO,COM,Uni„o do Sul,5108303
MT,314.82883741,n„o autorizada,2017,TERRA INDIGENA PARQUE DO XINGU,COM,Nova Ubirat„,5106240
MT,104.706781542,n„o autorizada,2017,PDS OLGA BENARIO,ARU,Uni„o do Sul,5108303
MT,104.706781542,n„o autorizada,2017,PDS OLGA BENARIO,COM,Uni„o do Sul,5108303
MT,199.106851322,n„o autorizada,2017,PDS KENO,COM,Nova Santa Helena,5106190
MT,89.7255676441,n„o autorizada,2017,PDS KENO,COM,Nova Santa Helena,5106190
MT,89.7255676441,n„o autorizada,2017,PDS KENO,ARU,Nova Santa Helena,5106190
MT,123.710727442,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,23.09334756,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,163.826175559,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,8.05168052203,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,533.434057784,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,102.903474177,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,205.256920356,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,165.211409518,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,267.61150618,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
MT,717.040242482,n„o autorizada,2017,PA ENA,ARU,Feliz Natal,5103700
